"('p', 'DOWN', 1.9073486328125e-06)","('p', 'UP', 0.08975911140441895)","('a', 'DOWN', 0.10128593444824219)","('a', 'UP', 0.21358275413513184)","('s', 'DOWN', 0.3036160469055176)","('s', 'UP', 0.37105798721313477)","('s', 'DOWN', 0.461108922958374)","('s', 'UP', 0.5511298179626465)","('W', 'DOWN', 0.7421698570251465)","('W', 'UP', 0.8549339771270752)","('0', 'DOWN', 1.001081943511963)","('0', 'UP', 1.11368989944458)","('r', 'DOWN', 1.147446870803833)","('r', 'UP', 1.237267017364502)","('d', 'DOWN', 1.3725430965423584)","('d', 'UP', 1.4623019695281982)","('!', 'DOWN', 1.7326281070709229)","('!', 'UP', 1.8339910507202148)"
"('p', 'DOWN', 1.9073486328125e-06)","('p', 'UP', 0.11234712600708008)","('a', 'DOWN', 0.13520193099975586)","('a', 'UP', 0.21388888359069824)","('s', 'DOWN', 0.36011219024658203)","('s', 'UP', 0.47247314453125)","('s', 'DOWN', 0.5738480091094971)","('s', 'UP', 0.6636409759521484)","('W', 'DOWN', 1.271338939666748)","('W', 'UP', 1.3840439319610596)","('0', 'DOWN', 1.5974400043487549)","('0', 'UP', 1.6988201141357422)","('r', 'DOWN', 1.822566032409668)","('r', 'UP', 1.923907995223999)","('d', 'DOWN', 2.0251171588897705)","('d', 'UP', 2.126262903213501)","('!', 'DOWN', 2.3513031005859375)","('!', 'UP', 2.4413528442382812)"
"('p', 'DOWN', 2.1457672119140625e-06)","('p', 'UP', 0.11232495307922363)","('a', 'DOWN', 0.12371516227722168)","('a', 'UP', 0.2136530876159668)","('s', 'DOWN', 0.3262939453125)","('s', 'UP', 0.4048268795013428)","('s', 'DOWN', 0.4724879264831543)","('s', 'UP', 0.5960431098937988)","('W', 'DOWN', 0.8437230587005615)","('W', 'UP', 0.9338250160217285)","('0', 'DOWN', 1.158689022064209)","('0', 'UP', 1.2485260963439941)","('r', 'DOWN', 1.3049769401550293)","('r', 'UP', 1.372281789779663)","('d', 'DOWN', 1.518686056137085)","('d', 'UP', 1.6310479640960693)","('!', 'DOWN', 1.8111810684204102)","('!', 'UP', 1.9126369953155518)"
"('p', 'DOWN', 3.0994415283203125e-06)","('p', 'UP', 0.08974623680114746)","('a', 'DOWN', 0.1013021469116211)","('a', 'UP', 0.1910550594329834)","('s', 'DOWN', 0.30376291275024414)","('s', 'UP', 0.39356422424316406)","('s', 'DOWN', 0.46129417419433594)","('s', 'UP', 0.5399651527404785)","('W', 'DOWN', 0.7425010204315186)","('W', 'UP', 0.8214941024780273)","('0', 'DOWN', 0.9900469779968262)","('0', 'UP', 1.0911359786987305)","('r', 'DOWN', 1.1362590789794922)","('r', 'UP', 1.248641014099121)","('d', 'DOWN', 1.4062540531158447)","('d', 'UP', 1.507505178451538)","('!', 'DOWN', 1.7779629230499268)","('!', 'UP', 2.024933099746704)"
"('p', 'DOWN', 2.1457672119140625e-06)","('p', 'UP', 0.1235499382019043)","('a', 'DOWN', 0.15748095512390137)","('a', 'UP', 0.2696530818939209)","('s', 'DOWN', 0.41631388664245605)","('s', 'UP', 0.5174810886383057)","('s', 'DOWN', 0.5962340831756592)","('s', 'UP', 0.7196381092071533)","('W', 'DOWN', 0.967216968536377)","('W', 'UP', 1.0914719104766846)","('0', 'DOWN', 1.304975986480713)","('0', 'UP', 1.4061980247497559)","('r', 'DOWN', 1.4963350296020508)","('r', 'UP', 1.5973730087280273)","('d', 'DOWN', 1.7325818538665771)","('d', 'UP', 1.8561220169067383)","('!', 'DOWN', 2.0813310146331787)","('!', 'UP', 2.182663917541504)"
"('p', 'DOWN', 2.1457672119140625e-06)","('a', 'DOWN', 0.10127902030944824)","('p', 'UP', 0.11175084114074707)","('a', 'UP', 0.2019200325012207)","('s', 'DOWN', 0.30363917350769043)","('s', 'UP', 0.40487194061279297)","('s', 'DOWN', 0.46109700202941895)","('s', 'UP', 0.5732789039611816)","('W', 'DOWN', 1.001162052154541)","('W', 'UP', 1.1138060092926025)","('0', 'DOWN', 1.304893970489502)","('0', 'UP', 1.4172019958496094)","('r', 'DOWN', 1.462364912033081)","('r', 'UP', 1.552198886871338)","('d', 'DOWN', 1.6761069297790527)","('d', 'UP', 1.777358055114746)","('!', 'DOWN', 2.035989999771118)","('!', 'UP', 2.12621808052063)"
"('p', 'DOWN', 2.1457672119140625e-06)","('p', 'UP', 0.10120415687561035)","('a', 'DOWN', 0.2362051010131836)","('a', 'UP', 0.3598020076751709)","('s', 'DOWN', 0.49483203887939453)","('s', 'UP', 0.5736870765686035)","('s', 'DOWN', 0.6412560939788818)","('s', 'UP', 0.7311971187591553)","('W', 'DOWN', 0.9224841594696045)","('W', 'UP', 1.0463409423828125)","('0', 'DOWN', 1.2373242378234863)","('0', 'UP', 1.349816083908081)","('r', 'DOWN', 1.4286112785339355)","('r', 'UP', 1.541193962097168)","('d', 'DOWN', 1.6652040481567383)","('d', 'UP', 1.7774269580841064)","('!', 'DOWN', 1.9913361072540283)","('!', 'UP', 2.0928258895874023)"
"('p', 'DOWN', 2.1457672119140625e-06)","('p', 'UP', 0.10122895240783691)","('a', 'DOWN', 0.1125481128692627)","('a', 'UP', 0.22485899925231934)","('s', 'DOWN', 0.3486311435699463)","('s', 'UP', 0.4499020576477051)","('s', 'DOWN', 0.5288090705871582)","('s', 'UP', 0.5961699485778809)","('W', 'DOWN', 0.8663082122802734)","('W', 'UP', 0.945214033126831)","('0', 'DOWN', 1.1248750686645508)","('0', 'UP', 1.2484979629516602)","('r', 'DOWN', 1.2823998928070068)","('r', 'UP', 1.3610601425170898)","('d', 'DOWN', 1.4736530780792236)","('d', 'UP', 1.574599027633667)","('!', 'DOWN', 1.7887308597564697)","('!', 'UP', 1.8561480045318604)"
"('p', 'DOWN', 1.9073486328125e-06)","('p', 'UP', 0.10137581825256348)","('a', 'DOWN', 0.11249399185180664)","('a', 'UP', 0.21360206604003906)","('s', 'DOWN', 0.3380129337310791)","('s', 'UP', 0.416273832321167)","('s', 'DOWN', 0.47268080711364746)","('s', 'UP', 0.585015058517456)","('W', 'DOWN', 0.7651340961456299)","('W', 'UP', 0.8325817584991455)","('0', 'DOWN', 1.0126588344573975)","('0', 'UP', 1.113792896270752)","('r', 'DOWN', 1.147704839706421)","('r', 'UP', 1.237441062927246)","('d', 'DOWN', 1.710101842880249)","('d', 'UP', 1.799785852432251)","('!', 'DOWN', 2.0925707817077637)","('!', 'UP', 2.182687997817993)"
"('p', 'DOWN', 3.0994415283203125e-06)","('p', 'UP', 0.11232924461364746)","('a', 'DOWN', 0.13509511947631836)","('a', 'UP', 0.23626422882080078)","('s', 'DOWN', 0.3375060558319092)","('s', 'UP', 0.4161710739135742)","('s', 'DOWN', 0.4837312698364258)","('s', 'UP', 0.5960502624511719)","('W', 'DOWN', 0.7649829387664795)","('W', 'UP', 0.8884882926940918)","('0', 'DOWN', 1.0462381839752197)","('0', 'UP', 1.158522129058838)","('r', 'DOWN', 1.1699450016021729)","('r', 'UP', 1.2597832679748535)","('d', 'DOWN', 1.3724660873413086)","('d', 'UP', 1.473613977432251)","('!', 'DOWN', 1.6199941635131836)","('!', 'UP', 1.710155963897705)"
"('p', 'DOWN', 3.0994415283203125e-06)","('p', 'UP', 0.11249709129333496)","('a', 'DOWN', 0.12378907203674316)","('a', 'UP', 0.2138211727142334)","('s', 'DOWN', 0.3264181613922119)","('s', 'UP', 0.4050180912017822)","('s', 'DOWN', 0.4954061508178711)","('s', 'UP', 0.573742151260376)","('W', 'DOWN', 0.7764012813568115)","('W', 'UP', 0.8774981498718262)","('0', 'DOWN', 1.0576629638671875)","('0', 'UP', 1.1700410842895508)","('r', 'DOWN', 1.1812002658843994)","('r', 'UP', 1.2712130546569824)","('d', 'DOWN', 1.350121021270752)","('d', 'UP', 1.4400639533996582)","('!', 'DOWN', 1.6313762664794922)","('!', 'UP', 1.7551841735839844)"
"('p', 'DOWN', 2.1457672119140625e-06)","('p', 'UP', 0.08974838256835938)","('a', 'DOWN', 0.10127520561218262)","('a', 'UP', 0.202437162399292)","('s', 'DOWN', 0.3037252426147461)","('s', 'UP', 0.39345216751098633)","('s', 'DOWN', 0.46117615699768066)","('s', 'UP', 0.551133394241333)","('W', 'DOWN', 0.7538843154907227)","('W', 'UP', 0.8772830963134766)","('0', 'DOWN', 1.0801212787628174)","('0', 'UP', 1.1924152374267578)","('r', 'DOWN', 1.2037742137908936)","('r', 'UP', 1.2824132442474365)","('d', 'DOWN', 1.395158052444458)","('d', 'UP', 1.5073091983795166)","('!', 'DOWN', 1.7099733352661133)","('!', 'UP', 1.8113694190979004)"
"('p', 'DOWN', 3.0994415283203125e-06)","('p', 'UP', 0.12362289428710938)","('a', 'DOWN', 0.12444901466369629)","('a', 'UP', 0.2360990047454834)","('s', 'DOWN', 0.348721981048584)","('s', 'UP', 0.4046618938446045)","('s', 'DOWN', 0.5060150623321533)","('s', 'UP', 0.5848608016967773)","('W', 'DOWN', 0.798698902130127)","('W', 'UP', 0.9223120212554932)","('0', 'DOWN', 1.0686547756195068)","('r', 'DOWN', 1.1700947284698486)","('r', 'UP', 1.1805858612060547)","('0', 'UP', 1.181046962738037)","('d', 'DOWN', 1.3611860275268555)","('d', 'UP', 1.4734928607940674)","('!', 'DOWN', 1.6536498069763184)","('!', 'UP', 1.7661488056182861)"
"('p', 'DOWN', 3.0994415283203125e-06)","('a', 'DOWN', 0.10144495964050293)","('p', 'UP', 0.11186599731445312)","('a', 'UP', 0.20252203941345215)","('s', 'DOWN', 0.3151588439941406)","('s', 'UP', 0.39366793632507324)","('s', 'DOWN', 0.46135687828063965)","('s', 'UP', 0.5736629962921143)","('W', 'DOWN', 0.7763519287109375)","('W', 'UP', 0.8888909816741943)","('0', 'DOWN', 1.1025691032409668)","('0', 'UP', 1.2260949611663818)","('r', 'DOWN', 1.248718023300171)","('r', 'UP', 1.3273918628692627)","('d', 'DOWN', 1.451322078704834)","('d', 'UP', 1.541018009185791)","('!', 'DOWN', 1.7551531791687012)","('!', 'UP', 1.867478847503662)"
"('p', 'DOWN', 2.1457672119140625e-06)","('p', 'UP', 0.11267518997192383)","('a', 'DOWN', 0.12362289428710938)","('a', 'UP', 0.22502493858337402)","('s', 'DOWN', 0.3375060558319092)","('s', 'UP', 0.3936920166015625)","('s', 'DOWN', 0.4613041877746582)","('s', 'UP', 0.5849869251251221)","('W', 'DOWN', 0.7649941444396973)","('W', 'UP', 0.8439297676086426)","('0', 'DOWN', 1.0236427783966064)","('r', 'DOWN', 1.136429786682129)","('0', 'UP', 1.1469459533691406)","('r', 'UP', 1.214920997619629)","('d', 'DOWN', 1.338939905166626)","('d', 'UP', 1.4174768924713135)","('!', 'DOWN', 1.5862128734588623)","('!', 'UP', 1.7213618755340576)"
"('p', 'DOWN', 3.0994415283203125e-06)","('a', 'DOWN', 0.10118794441223145)","('p', 'UP', 0.12349414825439453)","('a', 'UP', 0.19123387336730957)","('s', 'DOWN', 0.2588808536529541)","('s', 'UP', 0.34886598587036133)","('s', 'DOWN', 0.4273810386657715)","('s', 'UP', 0.5061538219451904)","('W', 'DOWN', 0.6973738670349121)","('W', 'UP', 0.7653071880340576)","('0', 'DOWN', 0.8888869285583496)","('0', 'UP', 1.0124530792236328)","('r', 'DOWN', 1.0352709293365479)","('r', 'UP', 1.1026060581207275)","('d', 'DOWN', 1.2262990474700928)","('d', 'UP', 1.3163108825683594)","('!', 'DOWN', 1.5415117740631104)","('!', 'UP', 1.6650118827819824)"
"('p', 'DOWN', 3.0994415283203125e-06)","('p', 'UP', 0.11252117156982422)","('a', 'DOWN', 0.1350390911102295)","('a', 'UP', 0.2363593578338623)","('s', 'DOWN', 0.3376772403717041)","('s', 'UP', 0.41623830795288086)","('s', 'DOWN', 0.4837942123413086)","('s', 'UP', 0.5849721431732178)","('W', 'DOWN', 0.7760510444641113)","('W', 'UP', 0.8438363075256348)","('0', 'DOWN', 1.0011510848999023)","('r', 'DOWN', 1.124861240386963)","('0', 'UP', 1.1361801624298096)","('r', 'UP', 1.2149512767791748)","('d', 'DOWN', 1.3274590969085693)","('d', 'UP', 1.4174022674560547)","('!', 'DOWN', 1.6199979782104492)","('!', 'UP', 1.7326610088348389)"
"('p', 'DOWN', 3.0994415283203125e-06)","('a', 'DOWN', 0.12260293960571289)","('p', 'UP', 0.13373112678527832)","('a', 'UP', 0.22368478775024414)","('s', 'DOWN', 0.3250110149383545)","('s', 'UP', 0.40390706062316895)","('s', 'DOWN', 0.482468843460083)","('s', 'UP', 0.5614709854125977)","('W', 'DOWN', 0.7408850193023682)","('W', 'UP', 0.8200011253356934)","('0', 'DOWN', 0.9887409210205078)","('0', 'UP', 1.0899851322174072)","('r', 'DOWN', 1.1012358665466309)","('r', 'UP', 1.1685991287231445)","('d', 'DOWN', 1.3150179386138916)","('d', 'UP', 1.4386789798736572)","('!', 'DOWN', 1.6299870014190674)","('!', 'UP', 1.7314748764038086)"
